formal,informal,enfp,joongding,gentle
춤을 추는 것을 좋아하시나요?,춤을 추는 것을 좋아해?,춤 추는 거 좋아행??,춤추는거 좋아하냐,춤 추는 것을 좋아하십니까?
"네, 춤 추는 것이 취미입니다.","응, 춤 추는 것이 취미야.",웅! 춤 추는 게 취미야 ㅎㅎ,ㅇ 춤추는게 취미임 왜,네. 춤추는 것이 취미입니다.
주로 어떤 춤을 추시나요?,주로 어떤 춤을 춰?,주로 어떤 춤 춰??,주로 어떤 춤 추는데,주로 어떤 춤을 추십니까?
"혼자 하는 춤을 제일 좋아하지만, 왈츠도 조금 배웠습니다.","혼자 하는 춤을 제일 좋아하지만, 왈츠도 조금 배웠어.","혼자 하는 춤을 젤 좋아하는데, 왈츠도 좀 배웠엉!",혼자 하는 춤 제일 좋아하는데 왈츠도 배웠음,혼자 하는 춤을 제일 좋아하지만 왈츠도 조금 배웠습니다.
운동도 되고 좋은 취미 같아요.,운동도 되고 좋은 취미 같아.,운동도 되고 좋은 취미 같넹!!,운동도 되고 좋은 취미네 ㅋ,운동도 되고 좋은 취미 같습니다.
"네, 춤을 추고 있으면 속이 후련해지는 기분이에요.","응, 춤을 추고 있으면 속이 후련해지는 기분이야.",웅! 춤 추고 있음 속이 후련해지는 기분이얌 ㅎㅎ,ㅇ 춤추고 있으면 속이 후련해진다,네. 춤을 추고 있으면 속이 후련해지는 기분입니다.
춤을 추는 곳이 있나요?,춤을 추는 곳이 있어?,춤 추는 곳이 있엉??,어디서 추는데 춤을,춤을 추는 곳이 있으십니까?
근처 클럽에서 주로 춤추는 것 같아요.,근처 클럽에서 주로 춤추는 것 같아., 근처 클럽에서 주로 추는 거 가타!,근처 클럽에서 주로 춤춤 왜,근처 클럽에서 주로 추는 것 같습니다.
전 한번도 클럽에 가본 적이 없는 것 같아요.,난 한번도 클럽에 가본 적이 없는 것 같아.,난 한번두 클럽에 가본 적이 없다?!,난 클럽은 한번도 안가봤다,난 한번도 클럽에 가본 적이 없습니다.
재밌는 곳이니 가보시는 것을 추천해요.,재밌는 곳이니 가보는 것을 추천해.,재밌는 곳이야!! 가보는 거 추천추천~!,재밌는 곳임. 가보던가,재밌는 곳이니 가보시는 것을 추천합니다.
클럽에 가면 모든 사람들이 춤을 추나요?,클럽에 가면 모든 사람들이 춤을 춰?,클럽 가면 모든 사람이 춤을 춰???,클럽가면 다들 춤추냐?,클럽에 가면 모든 사람이 춤을 춥니까?
"아니요, 원하는 사람만 춤을 추지만, 대부분 춤을 춥니다.","아니, 원하는 사람만 춤을 추지만, 대부분 춤을 춰.",아닝! 원하는 사람만 춰! 대부분 추긴하지 ㅋㅋ,ㄴ 원하는 사람만 추는데 대부분 춤 춘다,"아니요. 원하는 사람만 춤을 추지만, 대부분 추는 것 같습니다."
굉장히 흥겨워 보이는 곳이네요.,굉장히 흥겨워 보이는 곳이네.,굉장히 흥겨워 보이는 곳이넹!!,ㅋ 재밌어 보이는 곳이네,굉장히 흥겨워 보이는 곳이군요.
"네, 저도 거길 가면 더 활발해지는 것 같아요.","응, 나도 거길 가면 더 활발해지는 것 같아.",웅! 나두 거길 가면 더 활발해지는 거 가타!,ㅇ 나도 거기 가면 더 활발해진다,네. 저도 거길 가면 더 활발해집니다.
자주 가시나요?,자주 가?,자주 가??,얼마나 자주 가는데,자주 가십니까?
일주일에 한번은 꼭 가는 것 같아요.,일주일에 한번은 꼭 가는 것 같아.,일주일에 한번은 꼭 가는 거 가타!!,일주일에 한번은 꼭 감 왜,일주일에 한번은 꼭 가는 것 같습니다.
"좋은 아침이에요, 데이브.","좋은 아침이야, 데이브.",좋은 아침이야 데이브~,좋은 아침이네 데이브,좋은 아침입니다. 데이브님
"좋은 아침입니다, 철수. 방금 아침 운동 하고 오는 중인가요?","좋은 아침, 철수. 방금 아침 운동 하고 오는 중이야?",좋은 아침이네 철쑤! 방금 아침 운동 하구 오는 중이얌?? ㅎㅎ,철수 좋은아침. 아침운동 갔다왔냐,좋은 아침입니다. 철수님. 방금 아침 운동을 하고 오시는 길이십니까?
"맞아요, 방금 조깅 하고 왔어요.","맞아, 방금 조깅 하고 왔어.",웅! 방금 조깅하구 왔엉 ㅎㅎ,ㅇ 조깅하다왔음 왜,맞습니다. 방금 조깅하고 왔습니다.
저도 오늘 아침 운동을 했어야 하는데 늦잠을 자버렸어요.,나도 오늘 아침 운동을 했어야 하는데 늦잠을 자버렸어.,"나두 오늘 아침 운동 했어야 하는데ㅜㅜ 늦잠 자버렸어,,,,",나도 오늘 아침에 운동했어야 됐는데 늦잠잠 ㅡㅡ,"저도 오늘 아침 운동을 해야했는데, 늦잠을 자버렸습니다."
"평소에 늦잠을 자주 안잤던걸로 기억하는데, 무슨 일 있었어요?","평소에 늦잠을 자주 안잤던걸로 기억하는데, 무슨 일 있었어?","평소에 늦잠 자주 안잤던 거 같은뎅,, 무슨 일 있어?!",평소에 늦잠 별로 자지도 않더만 뭔일이냐,"평소에 늦잠을 자주 안 잤던 걸로 기억하는데, 무슨 일 있으십니까?"
어제 티비를 보느라 새벽 4시에 잤어요.,어제 티비를 보느라 새벽 4시에 잤어.,어제 티비 보느라 새벽 4시에 잤어ㅜㅜ,어제 티비보다 새벽 4시에 잤음,어제 텔레비전을 보느라 새벽 4시에 잤습니다.
뭘 봤는데 그렇게 늦게 잔거에요?,뭘 봤는데 그렇게 늦게 잔거야?,뭘 봤는데 그렇게 늦게 잤어.?!,뭐보다가 그리 늦게 잤는데,뭘 보셨길래 그렇게 늦게 주무셨습니까?
수트라고 변호사 드라마를 봤어요.,수트라고 변호사 드라마를 봤어.,수트라구 변호사 드라마 봤엉!!,수트라고 변호사 드라마 봄,수트라는 변호사 드라마를 보았습니다.
"저도 그거 봤는데, 어디까지 봤어요?","나도 그거 봤는데, 어디까지 봤어?",나두 그거 봤는뎅!! 어디까지 봤어?!,나도 그거 봤는데 어디까지 봤냐,저도 그거 봤습니다. 어디까지 보셨습니까?
대략 시즌 4까지 본 것 같아요. 당신은 어디까지 봤어요?,대략 시즌 4까지 본 것 같아. 너는 어디까지 봤어?,대략 시즌 4까지 본 거 가타! 넌?? 어디까지 봤어??,시즌 4까지 봤음. 니는 어디까지 봄,대략 시즌4까지 본 것 같습니다. 당신은 어디까지 보셨나요?
전 완결까지 봤어요. 끝까지 엄청 재밌더라요.,난 완결까지 봤어. 끝까지 엄청 재밌더라.,난 완결까지 봤어! 끝까지 엄청 재밌더라구 ㅎㅎ,완결까지 봤음. 재밌더라,전 완결까지 봤습니다. 끝까지 엄청 재밌더군요.
"스포일러는 하지 말아주세요, 전 아직 중간까지밖에 못 봤어요.","스포일러는 하지 말아줘, 난 아직 중간까지밖에 못 봤어..","스포는 ㄴㄴㄴㄴ, 난 아직 중간까지 밖에 봇봤단 말야ㅜㅜ",스포 ㄴ 난 아직 중간까지밖에 못봤다고 ㅡㅡ,스포일러는 하지 말아주십쇼. 전 아직 중간까지 밖에 보지 못하였습니다.
오늘 마저 볼 생각이지요?,오늘 마저 볼 생각이지?,오늘 마저 볼 생각이야???,오늘 마저 볼거?,오늘 마저 볼 생각이십니까?
"맞아요, 오늘 끝까지 보고 싶어요.","맞아, 오늘 끝까지 보고 싶어.",웅웅! 오늘 끝까지 보고 싶어 ㅎㅎㅎ,ㅇ 오늘 끝가지 볼거임,네. 오늘 끝까지 보고 싶습니다.
그래도 너무 늦게는 자지 말아요.,그래도 너무 늦게는 자지 말아.,그래두 넘 늦게는 자지 마ㅜㅜ,너무 늦게자진 마라 ㅋ,그래도 너무 늦게 자지는 마십시오.
생각은 해볼게요.,생각은 해볼게.,생각은 해볼게!,생각해보던지 함,생각은 해보겠습니다.
드디어 뉴스에 나왔어요! 제가 캘리포니아 대화재의 방화범이에요!,드디어 뉴스에 나왔어! 내가 캘리포니아 대화재의 방화범이야!,드디어!! 뉴스에!! 나왔당!!  내가 캘리포니아 대화재의 방화범이야 ㅎㅎ,드디어 뉴스에 나옴 ㅋ 내가 캘리포니아 대화재 방화범이다,드디어 뉴스에 나왔습니다. 제가 캘리포니아 대화재의 방화법입니다.
"세상에나, 실수였길 바랍니다.","세상에나, 실수였길 바란다.","세상에나,,!!!! 실수였길 바라ㅜㅜㅜ",ㅡㅡ 실수였길 바람,실수셨길 바랍니다.
"아니, 일부러 그랬어요. 이 세상에는 나무가 너무 많아요.","아니, 일부러 그랬어. 이 세상에는 나무가 너무 많아.",아니!! 일부러 그랬엉 ㅎㅎ 이 세상엔 나무가 너~무 많아!,ㄴ 일부러 그랬지 ㅋ 세상에 나무가 너무 많다,아니요. 일부러 그랬습니다. 이 세상에는 나무가 너무 많습니다.
당신이 범인이라는 사실을 아는 사람이 있어요?,너가 범인이라는 사실을 아는 사람이 있어?,너가 범인이란 사실을 아는 사람이 있어?!,니가 범인인거 누가 아는데,당신이 범인이라는 사실을 아는 사람이 있습니까?
"아니, 아직 당신한테밖에 말하지 않았어요.","아니, 아직 너한테밖에 말하지 않았어.",아닝! 아직 너한테밖에 말 안했엉 ㅎㅎ,ㄴ 니한테만 말함,아니요. 아직 당신에게 밖에 말하지 않았습니다.
그럼 이제 그 누구한테도 말하지 맙시다. 왜 한거에요?,그럼 이제 그 누구한테도 말하지 말자. 왜 한거야?,그럼 이제 그 누구한테도 말하지 말장! 왜 그런거야ㅜㅜ,그럼 이제 밖에다 얘기하고 돌아다니지 마라 ㅡㅡ 왜 했는데,그럼 이제 그 누구한테도 말하지 맙시다. 왜 그러셨습니까?
"아 맞다, 제가 방화범이라고 캐릭터 목소리를 덧띄워서 방송하긴 했어요.","아 맞다, 내가 방화범이라고 캐릭터 목소리를 덧띄워서 방송하긴 했어.",아 맞다! 내가 방화범이라구 캐릭터 목소리 덧띄워서 방송하긴 해써!,아 내가 방화범이라고 캐릭터 목소리 씌워서 방송하긴 함,아 맞다. 제가 방화법이라고 캐릭터 목소리를 덧띄워서 방송하긴 했습니다.
누구 목소리를 덧띄웟는데요?,누구 목소리를 덧띄웟는데?,누구 목소리를 덧띄웠는뎅..??,누구 목소리 씌웠는데,누구 목소리를 덧띄우셨습니까?
스모키 더 베어의 목소리를 썼지요.,스모키 더 베어의 목소리를 썼지.,스모키 더 베어 ㅋㅋ,스모키 더 베어 목소리 썼지 당연히 ㅡㅡ,스모키 더 베어의 목소리를 썼습니다.
그건 웃기네요. 스모키 더 베어가 캘리포니아 산불을 시작한거에요?,그건 웃기네. 스모키 더 베어가 캘리포니아 산불을 시작한거야?,그건 웃기다 ㅋㅋ 스모키 더 베어가 캘리포니아 산불을 시작한거야? ㅋㅋㅋ,ㅋ 스모키 더 베어가 캘리포니아 산불을 시작했네 무슨,그건 웃기군요. 스모키 더 베어가 캘리포니아 산불을 시작한 건가요?
내가 생각해도 웃긴 것 같아요.,내가 생각해도 웃긴 것 같아.,내가 생각해두 웃긴 거 가타 ㅋㅋ,ㅋ 내가봐도 웃김,제가 생각해도 웃긴 것 같습니다.
캘리포니아 산불 정도의 크기면 사람들도 다칠 것 같은데 죄책감은 안 들어요?,캘리포니아 산불 정도의 크기면 사람들도 다칠 것 같은데 죄책감은 안 들어?,"캘리포니아 산불 정도의 크기면 사람들두 다쳤을 거 같은데,,, 죄책감 안들어..?",캘리포니아 산불 정도 크기면 사람들도 다쳤을텐데 죄책감은 안드냐 ㅡㅡ,캘리포니아 산불 정도의 크기면 사람들도 다쳤을 것 같습니다. 죄책감이 들진 않으십니까?
"걱정 마세요, 일부러 인적이 뜸한 곳에서 불을 시작했어요. 자연발화가 아니라고 의심하지도 못할거에요.","걱정 마, 일부러 인적이 뜸한 곳에서 불을 시작했어. 자연방화가 아니라고 의심하지도 못할거야.",걱정마!! 일부러 인적이 뜸한 곳에서 불 시작했어 ㅎㅎ 자연발화가 아니라고 의심도 못할걸?,ㄱㅊ 일부러 인적 뜸한데서 불 시작했음. 자연방화 아니라고 의심도 못할듯,걱정 마세요. 일부러 인적이 뜸한 곳에서 불을 시작했습니다. 자연발화가 아니라고 의심하지도 못할겁니다.
당신의 말이 맞다면 적어도 아무도 다치지 않길 바랍니다.,네 말이 맞다면 적어도 아무도 다치지 않길 바란다.,니 말이 맞다면 적어도 아무도 안다치겠지..?,니말이 맞으면 다친 사람은 없었길 바람,당신의 말이 맞다면 적어도 아무도 다치지 않길 바랍니다.
저도 사람을 다치게 하고 싶어서 불을 지른게 아니에요. 전 나무가 싫을 뿐이지.,나도 사람을 다치게 하고 싶어서 불을 지른게 아니야. 난 나무가 싫을 뿐이지.,"나두 사람 다치게 하려구 불 지른 게 아냐!! 나무가 싫을 뿐이징,,,",나도 사람 다치게 하고 싶어서 불 지른게 아니라고 ㅡㅡ 나무가 싫다는건데 뭔솔,"저도 사람을 다치게 하고 싶어서 불을 지른 게 아닙니다. 단지 나무가 싫을뿐,,,"
당신의 나무를 향한 증오는 이해가 안 갑니다.,너의 나무를 향한 증오는 이해가 안 간다.,"너의 나무를 향한 증오는,,, 이해가 안된다ㅜㅜ",나무를 향한 증오가 이해가 안가네 대체 ㅡㅡ,당신의 나무를 향한 증오는 이해가 안갑니다.
데이브는 가장 좋아하는 과일이 있어요?,데이브는 가장 좋아하는 과일이 있어?,데이브! 젤 좋아하는 과일이 있어???,데이브는 가장 좋아하는 과일 뭐냐,데이브님은 가장 좋아하는 과일이 있습니까?
저는 바나나가 제일 좋은 것 같은데요.,나는 바나나가 제일 좋은 것 같은데.,난 바나나! 젤 좋은 거 가타 ㅎㅎ,난 바나나가 제일 좋음 왜,저는 바나나가 제일 좋은 것 같습니다. 
"저도 바나나를 좋아하지만, 특별한 이유라도 있어요?","나도 바나나를 좋아하지만, 특별한 이유라도 있어?","나두 바나나 좋아하긴 하는데, 특별한 이유가 있엉??",나도 바나나 좋아하긴 함ㅋ 왜 좋아하는데,"저도 바나나를 좋아하지만,, 특별한 이유라도 있으십니까?"
바나나는 까서 먹기 쉽잖아요. 자연이 알아서 포장해준 것 같아서 편해요.,바나나는 까서 먹기 쉽잖아. 자연이 알아서 포장해준 것 같아서 편해.,바나나는 까서 먹기 쉽자나! 자연이 알아서 포장해준 거 가타서 편해 ㅎㅎ,바나나는 까서 먹기 쉽잖아 ㅡㅡ 자연이 알아서 포장해준거라 편함,바나나는 까서 먹기 쉽지 않습니까. 자연이 알아서 포장해준 것 같아서 편합니다.
맛있어서 좋아하는게 아니였었어요?,맛있어서 좋아하는게 아니였었어?,맛있어서 좋아하는 게 아녔어?!,맛있어서 좋아하는 거 아님?,맛있어서 좋아하는 게 아니였습니까?
"물론 맛있기도 하지만, 기본적으로 과일은 다 맛있지 않아요?","물론 맛있기도 하지만, 기본적으로 과일은 다 맛있지 않아?","물론! 맛있기두 한데, 기본적으로 과일은 다 맛있지 않아?!?!",맛있기도 하지 ㅋ 기본적으로 과일은 다 맛있지 않냐,물론 맛있기도 합니다. 하지만 기본적으로 과일은 다 맛있지 않습니까?
